matricul	departem	ptvente	sexe	age	sitfamil	anciente	csp	codeqlt	nbimpaye	mtrejet	nbopguic	moycred3	aveparmo	endette	engagemt	engagemc	engagemm	nbcptvue	moysold3	moycredi	agemvt	nbop	mtfactur	engageml	nbvie	mtvie	nbeparmo	mteparmo	nbeparlo	mteparlo	nblivret	mtlivret	nbeparlt	mteparlt	nbeparte	mteparte	nbbon	mtbon	nbpaiecb	nbcb	nbcbptar	avtscpte	aveparfi	cartevp	sexer	cartevpr	nbjdebit
7564870	31	1	Shom	31	Fcel	1	Pcad	.	0	0	1	1	100	0	0	0	0	1	950	1	10	3	24500	0	0	0	1	100	0	0	1	100	0	0	0	0	0	0	0	1	0	1755	0	Coui	0	1	0
152046	31	1	Shom	49	Fmar	212	Part	A	0	0	24	52	9120	4	175075	73193	101882	1	-6704	16	11	25	0	0	2	56505	4	9120	2	8809	2	311	0	0	0	0	0	0	19	2	0	65625	56505	Coui	0	1	84
154656	31	1	Shom	41	Fmar	189	Pcad	A	0	0	1	82	17188	99	325515	0	325515	1	23836	82	11	46	34594	0	2	1886424	1	17188	1	17188	0	0	0	0	0	0	0	0	0	2	1	1945469	1886424	Coui	0	1	22
161604	31	1	Shom	52	Fmar	134	Psan	D	0	0	1	25	0	7	106801	27602	79199	2	-8571	25	11	30	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	2	0	47519	1500	Coui	0	1	93
241353	94	1	Sfem	36	Fdiv	275	Pemp	B	0	0	0	14	2612	24	51401	12755	38646	1	7954	13	11	41	0	0	0	0	2	2612	1	2190	1	422	0	0	0	0	0	0	17	3	0	10489	0	Coui	1	1	0
245138	32	1	Sfem	59	Fmar	217	Pcad	C	0	0	16	75	0	3	49857	0	49857	1	21115	75	11	31	143909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	32699	500	Coui	1	1	8
249585	32	1	Sfem	54	Fmar	149	Pcad	B	0	0	2	28	93080	0	0	0	0	2	3678	24	11	50	0	0	0	0	1	93080	0	0	1	93080	0	0	0	0	0	0	28	2	0	105223	0	Coui	1	1	2
560170	65	1	Shom	53	Fmar	285	Pcad	A	0	0	3	61	345506	0	0	0	0	1	27376	61	11	50	0	0	0	0	3	345506	2	315825	1	29681	0	0	0	0	0	0	23	1	0	355100	750	Coui	0	1	2
643916	65	1	Shom	44	Fmar	177	Pcad	B	0	0	1	17	14038	19	1078217	780	20897	1	4483	17	16	18	0	1056540	0	0	2	14038	1	11359	0	0	1	2679	0	0	0	0	0	1	0	50673	500	Coui	0	1	0
747448	31	1	Shom	50	Fmar	173	Pcad	B	0	0	10	144	39316	9	133507	7177	117603	2	14668	141	11	115	174488	8727	0	0	4	39316	2	8861	2	30455	0	0	0	0	0	0	23	3	0	71976	0	Coui	0	1	59
855407	31	3	Shom	26	Fcel	119	Psan	B	0	0	2	58	45603	0	0	0	0	1	45369	58	15	17	0	0	0	0	1	45603	1	45603	0	0	0	0	0	0	0	0	10	2	0	53583	0	Coui	0	1	0
944782	31	1	Sfem	56	Fmar	158	Pcad	D	0	0	4	15	18364	17	23660	23660	0	1	13992	14	15	35	0	0	0	0	1	18364	1	18364	0	0	0	0	0	0	0	0	14	2	0	27040	0	Coui	1	1	0
1054710	31	4	Shom	56	Fmar	718	Pcad	A	0	0	2	22	0	0	0	0	0	1	53391	22	15	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	48148	0	Coui	0	1	0
1167980	31	1	Shom	61	Fmar	65	Pemp	D	0	0	3	15	174394	32	93110	14537	78573	1	1133	15	11	26	0	0	1	9697	3	174394	2	174148	1	246	0	0	0	0	0	0	0	1	0	184091	9697	Coui	0	1	48
1244152	31	1	Shom	35	Fcel	206	Pouv	B	0	0	0	20	36222	3	61800	1800	60000	1	-3364	20	11	64	0	0	1	24914	1	36222	0	0	0	0	1	36222	0	0	0	0	38	2	0	118571	24914	Coui	0	1	88
1246291	31	1	Shom	32	Fmar	153	Pemp	C	0	0	0	44	0	2	7899	7899	0	1	-1593	36	11	57	0	0	1	950	1	0	0	0	1	0	0	0	0	0	0	0	30	2	0	6831	950	Coui	0	1	59
1250991	31	1	Shom	43	Fmar	243	Pcad	A	0	0	12	167	317486	2	200358	0	0	2	22063	162	11	108	0	200358	1	107633	5	317486	2	156043	3	161443	0	0	0	0	0	0	34	2	0	465595	107633	Coui	0	1	38
1341730	13	3	Sfem	56	Fdiv	258	Pcad	B	0	0	2	167	297046	2	535969	273000	25639	1	100138	117	11	29	208179	237330	0	0	2	297046	1	19790	1	277256	0	0	0	0	0	0	0	3	1	324706	0	Coui	1	1	0
1342024	31	3	Shom	48	Fmar	302	Pcad	B	0	0	6	47	0	0	0	0	0	1	46628	47	11	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1	0	41153	0	Coui	0	1	0
1482451	32	2	Sfem	50	Fcel	57	Pcad	C	0	0	0	49	0	0	0	0	0	1	13278	49	11	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	24657	0	Coui	1	1	35
2453082	31	1	Sfem	65	Fmar	188	Pcad	A	0	0	2	17	158372	0	0	0	0	1	17650	13	11	32	0	0	0	0	3	158372	1	49417	2	108955	0	0	0	0	0	0	2	1	0	266087	95038	Coui	1	1	0
3252089	31	2	Shom	40	Fcel	200	Part	B	0	0	1	33	283329	0	0	0	0	1	4292	7	11	21	120466	0	0	0	2	283329	2	283329	0	0	0	0	0	0	0	0	13	1	0	318169	10220	Coui	0	1	10
3342290	31	1	Shom	48	Fmar	246	Pouv	B	0	0	1	19	45439	0	0	0	0	1	10438	9	15	21	0	0	0	0	3	45439	1	2141	1	30000	1	13298	0	0	0	0	11	1	0	51132	0	Coui	0	1	0
5029400	31	1	Shom	35	Fcel	20	Pemp	C	0	0	7	51	20000	0	50000	0	50000	1	12781	49	11	97	0	0	0	0	3	20000	3	20000	0	0	0	0	0	0	0	0	27	3	1	26007	0	Coui	0	1	6
5048551	65	1	Shom	37	Fcel	13	Pemp	B	0	0	2	265	230217	32	91259	0	91259	2	69789	223	11	60	0	0	0	0	3	230217	1	100000	2	130217	0	0	0	0	0	0	3	1	0	330629	0	Coui	0	1	59
5050331	64	1	Shom	55	Fmar	12	Pcad	C	0	0	0	3	12300	0	142701	2701	140000	1	11872	0	11	33	0	0	0	0	3	12300	1	1800	2	10500	0	0	0	0	0	0	3	2	0	12300	0	Coui	0	1	0
5063225	31	1	Shom	35	Fmar	7	Pcad	C	0	0	4	76	0	0	0	0	0	1	93795	76	11	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	190260	0	Coui	0	1	0
5079094	31	1	Shom	48	Fmar	1	Pcad	.	0	0	2	21	100	0	0	0	0	1	1404	21	25	3	0	0	0	0	1	100	0	0	1	100	0	0	0	0	0	0	0	1	0	2908	0	Coui	0	1	0
7501312	31	1	Shom	64	Fmar	2	Psan	.	0	0	1	63	30000	0	0	0	0	1	99182	53	15	8	89900	0	0	0	1	30000	0	0	1	30000	0	0	0	0	0	0	0	1	0	82588	0	Coui	0	1	0
7504530	31	1	Shom	46	Fmar	15	Pcad	B	0	0	1	0	0	0	0	0	0	1	118289	0	17	10	0	0	1	126721	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	170718	126721	Coui	0	1	0
7568538	31	3	Shom	45	Fmar	28	Pcad	A	0	0	3	11	36765	19	61472	0	61472	1	5183	11	15	16	58900	0	0	0	2	36765	1	6765	1	30000	0	0	0	0	0	0	0	1	0	143323	97063	Coui	0	1	15
123126	31	1	Shom	54	Fcel	320	Pcad	A	0	0	0	23	208838	0	0	0	0	1	2972	21	15	53	160117	0	0	0	3	208838	1	102725	2	106113	0	0	0	0	0	0	17	2	0	213269	0	Coui	0	1	2
147129	31	1	Shom	49	Fmar	271	Pcad	B	0	0	1	35	14295	2	8116	8116	0	1	6446	35	15	86	140750	0	0	0	2	14295	1	0	1	14295	0	0	0	0	0	0	34	3	0	59110	0	Coui	0	1	31
165393	31	2	Shom	26	Fcel	101	Pcad	B	0	0	1	24	368	0	80455	455	80000	2	6343	24	15	55	0	0	0	0	1	368	0	0	1	368	0	0	0	0	0	0	22	2	0	825	0	Coui	0	1	5
177685	31	3	Shom	58	Fmar	849	Pcad	B	0	0	1	61	42575	0	0	0	0	1	19481	61	15	38	0	0	0	0	3	42575	1	28797	2	13778	0	0	0	0	0	0	7	1	0	221249	126054	Coui	0	1	0
406124	82	7	Shom	64	F.	765	Pret	A	0	0	0	94	213901	14	86887	0	86887	1	111671	94	15	53	129944	0	0	0	2	213901	0	0	1	213187	1	714	0	0	0	0	28	2	0	455805	185535	Coui	0	1	0
450792	82	4	Shom	38	Fcel	194	Pcad	A	0	0	2	15	125977	0	588	588	0	1	5243	15	15	27	0	0	0	0	3	125977	2	125458	1	519	0	0	0	0	0	0	12	1	0	125977	0	Coui	0	1	21
645079	65	1	Shom	55	Fsep	141	Pcad	B	0	0	1	22	5500	23	268334	0	12826	1	8021	20	15	40	274980	255508	0	0	1	5500	1	5500	0	0	0	0	0	0	0	0	9	2	0	19497	0	Coui	0	1	16
648951	65	1	Shom	57	F.	37	Pemp	C	0	0	2	2	0	0	0	0	0	1	2445	1	24	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4826	0	Coui	0	1	0
942913	31	1	Shom	45	Fmar	210	Pcad	B	0	0	2	20	10176	99	1637956	0	0	2	10923	20	15	11	0	1637956	0	0	3	10176	2	9891	1	285	0	0	0	0	0	0	0	1	0	24627	0	Coui	0	1	0
1050422	31	4	Shom	49	Fmar	288	Pemp	D	0	0	2	35	166616	0	37438	37438	0	1	-23765	34	15	52	0	0	0	0	3	166616	2	163207	0	0	1	3409	0	0	0	0	21	1	0	178899	12283	Coui	0	1	80
1050617	31	1	Sfem	55	Fcel	289	Pcad	B	0	0	1	26	35383	0	0	0	0	1	12567	25	15	43	117000	0	0	0	2	35383	1	34053	1	1330	0	0	0	0	0	0	4	2	0	64471	200	Coui	1	1	0
1117030	31	1	Shom	55	Fmar	314	Pcad	B	0	0	2	192	68777	0	0	0	0	1	49707	192	15	53	0	0	0	0	2	68777	0	0	2	68777	0	0	0	0	0	0	20	2	0	533709	0	Coui	0	1	0
1142242	31	1	Shom	49	Fmar	259	Pemp	D	0	0	1	102	293990	0	0	0	0	2	27870	102	15	86	0	0	0	0	3	293990	1	10734	2	283256	0	0	0	0	0	0	38	4	0	631593	300	Coui	0	1	7
1142854	31	1	Sfem	55	F.	248	Part	A	0	0	25	245	373505	1	30855	0	30855	1	16262	13	15	20	0	0	0	0	3	373505	1	71941	2	301564	0	0	0	0	0	0	11	2	1	478449	21306	Coui	1	1	0
1250651	31	2	Shom	51	Fcel	252	Pcad	A	0	0	2	33	502925	0	0	0	0	1	9849	26	15	62	0	0	1	10650	5	502925	2	277133	2	97562	1	128230	0	0	0	0	19	2	0	689770	172361	Coui	0	1	0
1642888	75	3	Shom	39	Fcel	253	Psan	C	0	-1	0	21	0	0	0	0	0	1	-3535	21	16	36	325480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	1	0	9127	0	Coui	0	1	73
2246945	31	1	Shom	38	Fmar	133	Pcad	D	0	0	2	23	1900	4	44499	0	44499	1	-4294	22	15	78	0	0	0	0	2	1900	1	1800	1	100	0	0	0	0	0	0	41	2	0	5616	0	Coui	0	1	82
3142241	31	3	Shom	56	Fmar	243	Pcad	A	0	0	1	41	145180	0	0	0	0	1	6865	41	15	48	0	0	2	207082	5	145180	3	107217	2	37963	0	0	0	0	0	0	8	1	0	364607	212591	Coui	0	1	1
3243104	31	1	Sfem	32	Fdiv	198	Pemp	C	0	0	1	14	0	0	0	0	0	1	-672	14	16	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5613	0	Coui	1	1	42
3244257	31	1	Sfem	49	Fdiv	127	Pcad	A	0	0	20	243	674742	4	1800000	0	0	2	36117	242	15	262	0	1800000	3	1876826	5	674742	2	466464	2	97724	1	110554	0	0	0	0	21	1	0	2871625	2155668	Coui	1	1	40
3251390	31	2	Shom	40	Fcel	199	Pcad	A	0	0	1	22	694853	3	38124	0	38124	1	21615	19	15	12	0	0	2	465640	9	694853	2	276106	1	32083	6	386664	0	0	0	0	0	1	0	1590118	843364	Coui	0	1	0
3440837	82	1	Shom	55	Fmar	267	Pcad	B	0	-4	0	16	138	6	92549	5505	87044	2	-4278	16	15	40	444936	0	0	0	1	138	0	0	1	138	0	0	0	0	0	0	28	3	0	20871	20600	Coui	0	1	91
3743533	97	2	Shom	36	Fcel	160	Pemp	A	0	0	0	21	611303	0	0	0	0	1	20939	21	15	43	0	0	0	0	4	611303	2	579603	2	31700	0	0	0	0	0	0	17	2	0	649872	500	Coui	0	1	0
5043817	31	2	Shom	30	Fmar	16	Pcad	C	0	0	2	19	0	0	0	0	0	1	41589	19	15	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	41943	0	Coui	0	1	0
5059337	32	5	Shom	44	Fuli	10	Pcad	C	0	0	2	0	0	0	0	0	0	1	126641	0	15	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	118323	49488	Coui	0	1	0
5075858	31	2	Shom	40	Fuli	3	Pcad	D	0	0	1	0	0	0	0	0	0	1	477	0	17	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	750	0	Coui	0	1	0
5079348	32	1	Shom	57	Fmar	2	Pcad	.	0	0	1	3	0	0	0	0	0	1	5000	3	17	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	10000	0	Coui	0	1	0
7501958	31	1	Shom	53	Fmar	20	Pcad	D	0	0	0	0	100	0	0	0	0	1	-621	0	15	4	160500	0	0	0	1	100	0	0	1	100	0	0	0	0	0	0	0	2	0	25309	0	Coui	0	1	14
7544157	32	5	Shom	48	Fmar	7	Pcad	B	0	0	6	86	30836	7	666389	0	666389	1	22728	79	15	56	62464	0	0	0	1	30836	1	30836	0	0	0	0	0	0	0	0	5	2	0	415519	355153	Coui	0	1	6
153009	31	1	Shom	43	Fcel	213	Pcad	B	0	0	1	46	36000	0	0	0	0	1	63895	46	11	37	36894	0	0	0	2	36000	1	6400	1	29600	0	0	0	0	0	0	21	2	0	87160	0	Coui	0	1	0
165626	31	1	Shom	37	Fcel	188	Pcad	A	0	0	4	102	383645	2	476476	0	0	1	54735	102	11	34	125100	476476	0	0	5	383645	2	115625	2	266455	1	1565	0	0	0	0	6	1	0	576535	2163	Coui	0	1	0
243191	31	3	Sfem	46	Fmar	248	Pcad	A	0	0	3	133	177130	0	17383	0	0	1	71866	133	11	45	0	17383	1	55055	3	177130	1	101573	2	75557	0	0	0	0	0	0	11	1	0	338550	117925	Coui	1	1	0
249590	32	5	Shom	38	Fmar	151	Pcad	C	0	0	0	16	49720	40	235698	8204	0	2	-2214	16	11	22	0	227494	0	0	2	49720	2	49720	0	0	0	0	0	0	0	0	.	0	0	53191	0	Coui	0	1	92
441061	82	1	Shom	57	Fmar	290	Pcad	C	0	0	2	27	378	10	171988	0	0	1	19241	27	18	7	0	171988	0	0	1	378	1	378	0	0	0	0	0	0	0	0	.	0	0	69713	1000	Coui	0	1	0
464651	82	7	Shom	27	F.	39	Part	C	0	0	1	2	0	0	4392	4392	0	1	-1275	2	11	16	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	3	1	0	0	0	Coui	0	1	63
464953	31	1	Shom	33	Fmar	111	Pemp	B	0	0	1	15	53482	0	0	0	0	2	677	13	11	38	0	0	0	0	3	53482	2	49993	1	3489	0	0	0	0	0	0	24	1	0	61515	6271	Coui	0	1	42
562253	11	1	Sfem	45	Fmar	811	Psan	A	0	0	1	79	322007	0	0	0	0	1	101762	79	15	32	6788	0	0	0	2	322007	1	318908	1	3099	0	0	0	0	0	0	0	1	0	423753	0	Coui	1	1	0
642811	65	1	Shom	51	Fmar	217	Part	B	0	0	0	14	105	13	228511	59572	168939	2	10221	12	11	14	0	0	1	7897	1	105	0	0	1	105	0	0	0	0	0	0	0	1	0	10541	7897	Coui	0	1	23
1043797	31	1	Shom	40	Fmar	165	Pemp	B	0	0	2	45	10297	0	0	0	0	1	4153	45	11	62	69000	0	1	9632	2	10297	1	0	1	10297	0	0	0	0	0	0	17	1	0	25144	9832	Coui	0	1	27
1053494	31	1	Sfem	37	Fmar	195	Pcad	D	0	0	2	105	136023	12	986183	12243	44362	1	22584	75	11	81	0	929578	0	0	2	136023	1	11807	1	124216	0	0	0	0	0	0	52	3	0	136023	0	Coui	1	1	0
1146476	31	2	Shom	46	Fmar	230	Pcad	A	0	0	2	21	56981	0	0	0	0	1	2965	21	11	34	150600	0	0	0	3	56981	2	56881	1	100	0	0	0	0	0	0	16	3	0	66742	8500	Coui	0	1	4
1261126	97	3	Shom	28	Fcel	35	Pcad	B	0	0	0	16	61803	0	0	0	0	1	5758	16	11	60	0	0	0	0	2	61803	1	52803	1	9000	0	0	0	0	0	0	40	2	0	65637	0	Coui	0	1	0
1341588	31	3	Shom	55	Fmar	263	Pcad	A	0	0	1	51	380	1	18688	18688	0	1	16960	51	11	61	160372	0	0	0	3	380	1	0	2	380	0	0	0	0	0	0	19	2	0	880	500	Coui	0	1	14
1451601	31	1	Sfem	32	Fdiv	148	Pemp	D	0	0	3	14	34189	0	0	0	0	1	18125	7	11	69	0	0	0	0	2	34189	1	34000	1	189	0	0	0	0	0	0	29	2	0	44655	0	Coui	1	1	0
1749494	31	2	Shom	50	Fmar	55	Pcad	B	0	0	5	41	33100	0	0	0	0	1	10768	41	11	40	0	0	0	0	1	33100	0	0	1	33100	0	0	0	0	0	0	17	3	0	41219	0	Coui	0	1	4
1954224	31	1	Shom	53	Fmar	38	Pcad	D	0	0	2	34	38975	2	9587	9587	0	1	27785	34	11	69	0	0	0	0	2	38975	1	9316	1	29659	0	0	0	0	0	0	31	3	0	46627	0	Coui	0	1	0
2042793	31	1	Shom	26	Fcel	93	Pcad	A	0	0	0	16	99895	0	0	0	0	2	20794	16	11	27	0	0	0	0	2	99895	1	98961	1	934	0	0	0	0	0	0	16	2	0	143809	0	Coui	0	1	0
2442813	31	1	Shom	51	Fmar	245	Pcad	D	0	0	3	11	0	96	121507	24404	97103	1	44	11	24	8	36240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	522	0	Coui	0	1	35
2463113	31	1	Sfem	33	Fmar	114	Pemp	B	0	0	4	36	1645	23	600733	0	0	2	1704	26	11	82	0	600733	1	7296	4	1645	4	1645	0	0	0	0	0	0	0	0	22	2	0	11325	7296	Coui	1	1	38
2563404	.	4	Sfem	51	Fdiv	47	Pcad	B	0	0	4	58	33189	0	0	0	0	1	65694	58	11	38	0	0	0	0	1	33189	0	0	1	33189	0	0	0	0	0	0	2	1	0	92541	0	Coui	1	1	0
2845404	31	1	Sfem	44	Fmar	179	Pcad	D	0	0	0	76	0	17	300564	0	0	1	43108	76	11	66	0	300564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	2	0	18176	300	Coui	1	1	6
3146126	31	1	Shom	50	Fmar	46	Pcad	D	0	0	0	0	0	0	203720	203720	0	1	-56957	0	11	3	138000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	Coui	0	1	85
3241325	31	1	Sfem	39	Fveu	250	Pcad	B	0	0	7	46	9931	21	336246	11204	69636	1	4856	46	11	81	0	255406	0	0	4	9931	2	9417	2	514	0	0	0	0	0	0	23	2	0	19643	9712	Coui	1	1	18
3344670	31	1	Sfem	44	Fcel	183	Pcad	A	0	0	3	40	586394	0	198	198	0	1	11034	22	11	43	84000	0	4	195155	4	586394	1	254477	2	33809	1	298108	0	0	0	0	7	2	0	964227	377833	Coui	1	1	0
3460377	82	3	Shom	64	Fmar	153	Pcad	A	0	0	1	66	340730	19	267188	0	267188	1	12360	56	11	56	0	0	1	41961	4	340730	2	220570	2	120160	0	0	0	0	0	0	8	2	0	396964	41961	Coui	0	1	6
3842217	31	3	Shom	31	Fuli	127	Pemp	A	0	0	1	21	312787	40	441632	0	0	1	1970	21	11	40	0	441632	0	0	3	312787	2	306787	1	6000	0	0	0	0	0	0	8	2	0	324409	11482	Coui	0	1	55
5006322	31	3	Shom	40	Fdiv	31	Pcad	D	0	0	1	21	7175	10	112027	13399	98628	1	-10664	21	11	38	0	0	0	0	2	7175	1	7050	1	125	0	0	0	0	0	0	5	2	0	7175	0	Coui	0	1	92
5022365	31	1	Shom	27	Fmar	25	Pcad	C	0	0	4	44	0	2	9734	9734	0	1	21962	44	11	87	23941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	1	0	0	0	Coui	0	1	4
5078472	31	2	Shom	38	Fmar	3	Pcad	E	0	0	0	18	9300	0	0	0	0	1	6699	18	11	24	56500	0	0	0	1	9300	0	0	1	9300	0	0	0	0	0	0	9	3	0	17452	0	Coui	0	1	0
5081248	65	1	Shom	45	Fmar	2	Part	E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.	0	0	0	0	Coui	0	1	0
5082917	31	1	Shom	37	Fmar	1	Pcad	E	0	0	2	20	47250	0	0	0	0	1	1023	3	17	10	108500	0	0	0	1	47250	0	0	1	47250	0	0	0	0	0	0	0	1	0	58747	0	Coui	0	1	5
7573846	31	1	Shom	43	Fcel	26	Pcad	D	0	0	0	0	7756	0	140220	140220	0	1	-70050	0	11	3	12000	0	0	0	3	7756	1	7371	2	385	0	0	0	0	0	0	0	1	0	7756	0	Coui	0	1	8
149265	31	1	Shom	39	Fmar	310	Pcad	B	0	0	1	100	21737	2	50522	0	31300	1	20055	100	14	51	141894	19222	0	0	2	21737	2	21737	0	0	0	0	0	0	0	0	32	3	0	100441	0	Coui	0	1	8
149961	81	1	Shom	43	Fmar	231	Pemp	D	0	0	2	26	0	13	226858	45871	180987	3	-2454	26	14	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	1	0	17637	0	Coui	0	1	92
252446	32	3	Shom	31	Fcel	118	Pcad	D	0	0	1	45	128502	0	0	0	0	1	55529	42	14	85	139731	0	0	0	3	128502	1	42000	2	86502	0	0	0	0	0	0	65	2	0	147815	0	Coui	0	1	0
554051	65	1	Shom	37	Fcel	137	Pcad	B	0	0	6	212	0	12	1982579	1361	391697	4	22732	213	14	128	357655	1589521	0	0	1	0	0	0	1	0	0	0	0	0	0	0	41	3	0	63689	0	Coui	0	1	24
831509	31	1	Shom	59	Fmar	848	Pcad	A	0	0	1	354	718094	0	0	0	0	2	105683	193	14	35	203980	0	5	661991	3	718094	1	207693	2	510401	0	0	0	0	0	0	6	2	0	1879699	1140072	Coui	0	1	1
1044514	31	3	Sfem	57	Fmar	133	Pcad	B	0	0	3	10	10734	0	0	0	0	1	4844	10	15	23	0	0	0	0	1	10734	0	0	1	10734	0	0	0	0	0	0	10	2	0	18167	0	Coui	1	1	0
1168050	31	1	Shom	34	F.	67	Pcad	C	0	0	0	42	100	0	225834	0	225834	1	22879	2	21	2	0	0	0	0	1	100	0	0	1	100	0	0	0	0	0	0	.	0	0	782	0	Coui	0	1	7
1943932	31	2	Shom	51	Fmar	227	Pcad	.	0	0	2	44	0	0	6119	6119	0	3	24993	44	14	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	Coui	0	1	0
2541959	31	1	Shom	55	F.	266	Part	A	0	0	0	58	396427	46	296004	0	296004	1	28286	58	14	45	130288	0	2	1016293	2	396427	1	130744	1	265683	0	0	0	0	0	0	32	2	0	1491647	1094690	Coui	0	1	6
2550389	31	1	Shom	61	Fmar	206	Pcad	A	0	0	1	51	407819	0	0	0	0	1	7757	38	14	92	104436	0	1	29604	2	407819	1	169819	1	238000	0	0	0	0	0	0	36	1	0	442398	29604	Coui	0	1	0
2644899	31	1	Shom	46	Fmar	126	Pcad	B	0	0	1	16	82834	0	746	746	0	1	6850	16	14	16	113494	0	0	0	2	82834	0	0	2	82834	0	0	0	0	0	0	0	2	1	82834	0	Coui	0	1	0
3146165	75	2	Sfem	29	Fmar	204	Pemp	A	0	0	1	22	236693	0	0	0	0	1	4295	22	14	31	0	0	1	37415	3	236693	2	236505	1	188	0	0	0	0	0	0	13	1	0	284236	46085	Coui	1	1	0
3241063	31	1	Shom	48	Fmar	264	Pcad	A	0	0	2	117	130589	5	126835	0	126835	2	15027	117	14	47	278400	0	1	81863	2	130589	2	130589	0	0	0	0	0	0	0	0	21	3	0	337797	82363	Coui	0	1	57
3346721	54	3	Shom	43	Fdiv	133	Pcad	D	0	0	1	27	100000	0	0	0	0	1	17216	27	15	18	0	0	0	0	1	100000	0	0	1	100000	0	0	0	0	0	0	0	1	0	274277	0	Coui	0	1	0
5002214	31	6	Shom	28	Fcel	33	Pemp	C	0	0	4	53	29917	13	97162	0	97162	2	15723	53	15	51	0	0	0	0	2	29917	2	29917	0	0	0	0	0	0	0	0	20	2	0	40054	0	Coui	0	1	4
5032531	82	3	Shom	28	Fmar	22	Pemp	C	0	0	1	7	411	0	4269	4269	0	1	5134	7	14	21	0	0	0	0	1	411	0	0	1	411	0	0	0	0	0	0	11	2	0	411	0	Coui	0	1	1
5079351	65	1	Shom	44	Fmar	4	Pcad	E	0	0	0	10	0	0	0	0	0	1	10709	10	18	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	29227	0	Coui	0	1	12
5084793	65	1	Shom	34	Fcel	2	Pcad	E	0	0	1	1	200	0	0	0	0	1	1278	1	29	4	0	0	0	0	2	200	0	0	2	200	0	0	0	0	0	0	0	1	0	2755	0	Coui	0	1	0
5085206	82	5	Shom	43	Fcel	1	Pcad	E	0	0	3	5	0	0	0	0	0	1	2649	5	14	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	6047	0	Coui	0	1	0
154396	31	2	Shom	35	Fmar	196	Pcad	A	0	0	4	214	224826	13	1772689	0	201041	3	34221	213	13	119	0	1571648	0	0	4	224826	2	107510	2	117316	0	0	0	0	0	0	43	4	0	271359	200	Coui	0	1	0
156485	31	1	Shom	40	Fmar	309	Pcad	A	0	0	4	156	724959	14	1681684	63442	1618242	2	38831	157	13	58	0	0	0	0	2	724959	1	404448	1	320511	0	0	0	0	0	0	17	2	0	751664	16110	Coui	0	1	7
158823	9	1	Shom	47	Fdiv	156	Psan	B	0	0	2	11	34696	0	0	0	0	1	3703	8	14	24	0	0	1	94518	4	34696	1	2294	3	32402	0	0	0	0	0	0	15	1	0	139033	94518	Coui	0	1	34
162381	75	1	Shom	56	Fcel	131	Pcad	B	0	0	1	31	29618	8	206323	0	75670	1	65548	31	13	63	0	130653	0	0	1	29618	0	0	1	29618	0	0	0	0	0	0	31	2	0	69425	0	Coui	0	1	0
163091	31	1	Shom	54	Fmar	124	Pcad	B	0	0	3	821	0	0	0	0	0	1	76492	35	13	90	0	0	1	5130212	0	0	0	0	0	0	0	0	0	0	0	0	51	1	0	9299466	7066619	Coui	0	1	34
255734	32	1	Shom	56	Fmar	226	Pcad	C	0	0	1	8	0	0	0	0	0	1	11231	8	20	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.	0	0	16282	0	Coui	0	1	0
256787	32	1	Shom	38	Fmar	69	Pcad	D	0	0	0	0	0	0	0	0	0	1	0	0	13	0	96000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	107750	0	Coui	0	1	0
455868	13	1	Shom	28	Fcel	143	Pemp	A	0	0	1	37	56153	5	10694	0	10694	2	12383	37	13	41	167866	0	0	0	2	56153	1	28639	1	27514	0	0	0	0	0	0	17	4	0	83142	0	Coui	0	1	0
